Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"1513/639 Little Lonsdale Street, Melbourne VIC 3000",-37.80914117476021,144.96917914506255,Apartment/Unit/Flat,2,2,0,3215.0,740.0
"4410/560 Lonsdale Street, Melbourne VIC 3000",-37.8137367,144.95562942986624,Apartment/Unit/Flat,2,2,0,,830.0
"1110/565 Flinders Street, Melbourne VIC 3000",-37.821096,144.9558092772109,Apartment/Unit/Flat,1,1,0,,550.0
"3002/560 Lonsdale Street, Melbourne VIC 3000",-37.8137367,144.95562942986624,Apartment/Unit/Flat,2,1,0,,750.0
"405/33 MacKenzie Street, Melbourne VIC 3000",-37.8075663,144.9666053,Apartment/Unit/Flat,2,1,0,2607.0,600.0
"704/593 Elizabeth Street, Melbourne VIC 3000",-37.8044707,144.9582695,Apartment/Unit/Flat,1,1,0,1608.0,370.0
"2612/618 Lonsdale Street, Melbourne VIC 3000",-37.810509,144.9685064,Apartment/Unit/Flat,2,1,1,,730.0
"207/547 Flinders Lane, Melbourne VIC 3000",-37.8199289,144.9557972,Apartment/Unit/Flat,2,1,0,2346.0,540.0
"805/380 Little Lonsdale Street, Melbourne VIC 3000",-37.8122724,144.9581821,Apartment/Unit/Flat,1,1,0,2216.0,510.0
"0917/233 Collins St, Melbourne VIC 3000",-37.8157669,144.9659393,Apartment/Unit/Flat,2,1,0,2694.0,620.0
"3202/285 La Trobe Street, Melbourne VIC 3000",-37.81071325,144.960917542045,Apartment/Unit/Flat,2,1,0,3259.0,750.0
"712/199 William Street, Melbourne VIC 3000",-37.8145471,144.957423,Apartment/Unit/Flat,2,1,0,2825.0,650.0
"3807/568 Collins Street, Melbourne VIC 3000",-37.81835585,144.95542933144475,Apartment/Unit/Flat,1,1,0,2282.0,525.0
"904/422 Collins Street, Melbourne VIC 3000",-37.81679715,144.9600304018269,Apartment/Unit/Flat,1,1,0,2499.0,575.0
"1602/620 Collins Street, Melbourne VIC 3000",-37.81866625,144.9543683,Apartment/Unit/Flat,2,1,1,3019.0,695.0
"704/4-10 Bank Place, Melbourne VIC 3000",-37.8167053,144.9605025,Apartment/Unit/Flat,2,1,0,,700.0
"1602/618 Lonsdale Street, Melbourne VIC 3000",-37.810509,144.9685064,Apartment/Unit/Flat,2,2,1,,800.0
"3511/371 Little Lonsdale Street, Melbourne VIC 3000",-37.8117993,144.9610534,Apartment/Unit/Flat,2,2,0,3693.0,850.0
"1/163 La Trobe Street, Melbourne VIC 3000",-37.810582,144.9605678,Apartment/Unit/Flat,2,1,0,2868.0,
"4309/442 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,2,1,0,3563.0,820.0
"3205/380 Little Lonsdale Street, Melbourne VIC 3000",-37.8122724,144.9581821,Apartment/Unit/Flat,2,2,0,3129.0,720.0
"518/238 Flinders Street, Melbourne VIC 3000",-37.8175372,144.9665144,Apartment/Unit/Flat,1,1,0,1521.0,350.0
"3703/568 Collins Street, Melbourne VIC 3000",-37.81835585,144.95542933144475,Apartment/Unit/Flat,2,2,1,3693.0,850.0
"809/500 Flinders Street, Melbourne VIC 3000",-37.8200571,144.9577821,Apartment/Unit/Flat,0,1,0,1847.0,425.0
"905/11 Cohen Place, Melbourne VIC 3000",-37.8104681,144.9689134,Apartment/Unit/Flat,1,1,0,2303.0,530.0
"626/118 Franklin Street, Melbourne VIC 3000",-37.80820875,144.95902042866936,Apartment/Unit/Flat,2,1,0,1840.0,460.0
"2709/639 Lonsdale Street, Melbourne VIC 3000",-37.81533785,144.9537122918212,House,2,1,0,3042.0,700.0
"1305/280 Spencer Street, Melbourne VIC 3000",-37.8138089,144.95209688770183,Apartment/Unit/Flat,1,1,0,2042.0,470.0
"108/108 Flinders Street, Melbourne VIC 3000",-37.816044000000005,144.97117949278896,Apartment/Unit/Flat,1,1,0,2173.0,500.0
"2409/639 Lonsdale Street, Melbourne VIC 3000",-37.81533785,144.9537122918212,Apartment/Unit/Flat,2,1,0,,720.0
"2310/155 Franklin Street, Melbourne VIC 3000",-37.8086427,144.9596031,Apartment/Unit/Flat,2,1,0,3042.0,700.0
"1B/353 Flinders Lane, Melbourne VIC 3000",-37.81539176706996,144.97067056088363,Apartment/Unit/Flat,1,1,0,2173.0,500.0
"1709/8 Franklin Street, Melbourne VIC 3000",-37.8083953,144.9593875,Apartment/Unit/Flat,2,1,0,2955.0,680.0
"2111/80 A'beckett Street, Melbourne VIC 3000",-37.8089554,144.96113782891808,Apartment/Unit/Flat,2,1,0,3172.0,730.0
"1802/462 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,2,2,0,3693.0,850.0
"2404/483 Swanston Street, Melbourne VIC 3000",-37.8072155,144.962489,Apartment/Unit/Flat,2,1,0,2868.0,660.0
"901/280 Spencer Street, Melbourne VIC 3000",-37.8138089,144.95209688770183,Apartment/Unit/Flat,1,1,0,1880.0,470.0
"1625/474 Flinders Street, Melbourne VIC 3000",-37.81791195625736,144.96613866288172,Apartment/Unit/Flat,2,1,0,3042.0,700.0
"1013/39 Lonsdale Street, Melbourne VIC 3000",-37.809903,144.9711068,Apartment/Unit/Flat,2,1,0,2694.0,620.0
"29/88-94 Franklin Street, Melbourne VIC 3000",-37.8084339537898,144.9592549861561,Apartment/Unit/Flat,1,1,0,2173.0,500.0
"2103/280 Spencer Street, Melbourne VIC 3000",-37.8138089,144.95209688770183,Apartment/Unit/Flat,1,1,1,,550.0
"1808/483 Swanston Street, Melbourne VIC 3000",-37.8072155,144.962489,Apartment/Unit/Flat,2,1,0,2825.0,650.0
"803/36 La Trobe Street, Melbourne VIC 3000",-37.809247915252186,144.96475958978283,Apartment/Unit/Flat,2,1,0,3259.0,750.0
"101/455 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,2,1,0,2607.0,600.0
"1902/22-24 Jane Bell Lane, Melbourne VIC 3000",-37.8103416,144.9655365,Apartment/Unit/Flat,2,1,1,3042.0,700.0
